language,kernel,nitems,time
D,DotProduct,1000,0.00819613
D,DotProduct,5000,0.223685
D,DotProduct,10000,1.31023
D,DotProduct,20000,8.90169
D,DotProduct,30000,27.2209
D,Gaussian,1000,0.0091697
D,Gaussian,5000,0.266825
D,Gaussian,10000,1.48178
D,Gaussian,20000,9.12395
D,Gaussian,30000,28.0206
D,Polynomial,1000,0.0066808
D,Polynomial,5000,0.241259
D,Polynomial,10000,1.34054
D,Polynomial,20000,8.52217
D,Polynomial,30000,26.7119
D,Exponential,1000,0.00658687
D,Exponential,5000,0.2419
D,Exponential,10000,1.38203
D,Exponential,20000,8.79759
D,Exponential,30000,26.3805
D,Log,1000,0.969885
D,Log,5000,24.193
D,Log,10000,97.6088
D,Log,20000,388.341
D,Log,30000,869.114
D,Cauchy,1000,0.00623253
D,Cauchy,5000,0.208351
D,Cauchy,10000,1.24115
D,Cauchy,20000,8.06321
D,Cauchy,30000,24.3449
D,Power,1000,0.929166
D,Power,5000,23.2952
D,Power,10000,93.2023
D,Power,20000,373.692
D,Power,30000,841.745
D,Wave,1000,0.007525
D,Wave,5000,0.242719
D,Wave,10000,1.38649
D,Wave,20000,8.83826
D,Wave,30000,25.8159
D,Sigmoid,1000,0.00766643
D,Sigmoid,5000,0.230928
D,Sigmoid,10000,1.3341
D,Sigmoid,20000,7.81808
D,Sigmoid,30000,25.4112
