language,kernel,nitems,time
D,DotProduct,1000,0.00853253
D,DotProduct,5000,0.22258
D,DotProduct,10000,1.29192
D,DotProduct,20000,8.314
D,DotProduct,30000,28.5399
D,Gaussian,1000,0.00930917
D,Gaussian,5000,0.293896
D,Gaussian,10000,1.50894
D,Gaussian,20000,9.27404
D,Gaussian,30000,28.1179
D,Polynomial,1000,0.0082157
D,Polynomial,5000,0.268418
D,Polynomial,10000,1.41729
D,Polynomial,20000,8.32521
D,Polynomial,30000,26.7054
D,Exponential,1000,0.00921977
D,Exponential,5000,0.286627
D,Exponential,10000,1.50796
D,Exponential,20000,8.89292
D,Exponential,30000,28.2916
D,Log,1000,0.542385
D,Log,5000,13.6409
D,Log,10000,54.4341
D,Log,20000,217.692
D,Log,30000,489.455
D,Cauchy,1000,0.00672967
D,Cauchy,5000,0.226088
D,Cauchy,10000,1.34933
D,Cauchy,20000,8.42315
D,Cauchy,30000,26.5088
D,Power,1000,0.549695
D,Power,5000,13.5864
D,Power,10000,54.2277
D,Power,20000,217.465
D,Power,30000,487.697
D,Wave,1000,0.0077325
D,Wave,5000,0.251561
D,Wave,10000,1.46726
D,Wave,20000,9.63903
D,Wave,30000,28.1261
D,Sigmoid,1000,0.0064418
D,Sigmoid,5000,0.22409
D,Sigmoid,10000,1.30322
D,Sigmoid,20000,8.75258
D,Sigmoid,30000,26.2685
