language, kernel, nitems, time
Chapel, DotProduct, 1000, 0.00924367
Chapel, DotProduct, 5000, 0.221611
Chapel, DotProduct, 10000, 1.42578
Chapel, DotProduct, 20000, 8.38982
Chapel, DotProduct, 30000, 22.7254
Chapel, Gaussian, 1000, 0.00718267
Chapel, Gaussian, 5000, 0.276599
Chapel, Gaussian, 10000, 1.50735
Chapel, Gaussian, 20000, 8.65949
Chapel, Gaussian, 30000, 24.1533
Chapel, Polynomial, 1000, 0.00828233
Chapel, Polynomial, 5000, 0.261301
Chapel, Polynomial, 10000, 1.52145
Chapel, Polynomial, 20000, 8.84253
Chapel, Polynomial, 30000, 24.1945
Chapel, Exponential, 1000, 0.0122707
Chapel, Exponential, 5000, 0.252101
Chapel, Exponential, 10000, 1.53333
Chapel, Exponential, 20000, 8.68634
Chapel, Exponential, 30000, 23.6449
Chapel, Log, 1000, 0.957172
Chapel, Log, 5000, 23.7193
Chapel, Log, 10000, 94.9719
Chapel, Log, 20000, 380.074
Chapel, Log, 30000, 855.543
Chapel, Cauchy, 1000, 0.008833
Chapel, Cauchy, 5000, 0.255776
Chapel, Cauchy, 10000, 1.51067
Chapel, Cauchy, 20000, 8.53653
Chapel, Cauchy, 30000, 23.9485
Chapel, Power, 1000, 0.959575
Chapel, Power, 5000, 23.7316
Chapel, Power, 10000, 94.9118
Chapel, Power, 20000, 379.592
Chapel, Power, 30000, 854.344
Chapel, Wave, 1000, 0.00928133
Chapel, Wave, 5000, 0.271076
Chapel, Wave, 10000, 1.54933
Chapel, Wave, 20000, 8.69982
Chapel, Wave, 30000, 24.2359
Chapel, Sigmoid, 1000, 0.009228
Chapel, Sigmoid, 5000, 0.249445
Chapel, Sigmoid, 10000, 1.47198
Chapel, Sigmoid, 20000, 8.46401
Chapel, Sigmoid, 30000, 23.3408
