language,kernel,nitems,time
D,DotProduct,1000,0.00758157
D,DotProduct,5000,0.227808
D,DotProduct,10000,1.28944
D,DotProduct,20000,9.12727
D,DotProduct,30000,26.5607
D,Gaussian,1000,0.0090272
D,Gaussian,5000,0.265671
D,Gaussian,10000,1.42508
D,Gaussian,20000,9.2337
D,Gaussian,30000,27.3075
D,Polynomial,1000,0.0068673
D,Polynomial,5000,0.23578
D,Polynomial,10000,1.31602
D,Polynomial,20000,8.99742
D,Polynomial,30000,26.939
D,Exponential,1000,0.008833
D,Exponential,5000,0.27474
D,Exponential,10000,1.4347
D,Exponential,20000,9.3266
D,Exponential,30000,27.2397
D,Log,1000,0.966266
D,Log,5000,24.1955
D,Log,10000,96.2422
D,Log,20000,384.62
D,Log,30000,864.477
D,Cauchy,1000,0.00608963
D,Cauchy,5000,0.212442
D,Cauchy,10000,1.25913
D,Cauchy,20000,8.69336
D,Cauchy,30000,26.7323
D,Power,1000,0.959982
D,Power,5000,24.1416
D,Power,10000,96.0607
D,Power,20000,384.133
D,Power,30000,854.033
D,Wave,1000,0.0075854
D,Wave,5000,0.263024
D,Wave,10000,1.57122
D,Wave,20000,10.0207
D,Wave,30000,29.9925
D,Sigmoid,1000,0.0056798
D,Sigmoid,5000,0.251254
D,Sigmoid,10000,1.47337
D,Sigmoid,20000,8.76444
D,Sigmoid,30000,28.8495
